Name,Type,Cat.,Power,Acc.,PP,TM,Effect,Prob. (%)
V-create,FIRE,Physical,180,95,5,,"Lowers user's Defense, Special Defense and Speed.",100
Vacuum Wave,FIGHTING,Special,40,100,30,,User attacks first.,—
Veevee Volley,NORMAL,Physical,—,?,20,,Power increases when player's bond is stronger.,
Venom Drench,POISON,Status,—,100,20,,Lowers poisoned opponent's Special Attack and Speed.,—
Venoshock,POISON,Special,65,100,10,TM09,Inflicts double damage if the target is poisoned.,—
Vice Grip,NORMAL,Physical,55,100,30,,,—
Vine Whip,GRASS,Physical,45,100,25,,,—
Vital Throw,FIGHTING,Physical,70,?,10,,"User attacks last, but ignores Accuracy and Evasiveness.",—
Volt Switch,ELECTRIC,Special,70,100,20,TM72,User must switch out after attacking.,—
Volt Tackle,ELECTRIC,Physical,120,100,15,,User receives recoil damage. May paralyze opponent.,10
Wake-Up Slap,FIGHTING,Physical,70,100,10,,"Power doubles if opponent is asleep, but wakes it up.",—
Water Gun,WATER,Special,40,100,25,,,—
Water Pledge,WATER,Special,80,100,10,,Added effects appear if preceded by Fire Pledge or succeeded by Grass Pledge.,—
Water Pulse,WATER,Special,60,100,20,,May confuse opponent.,20
Water Shuriken,WATER,Special,15,100,20,,Hits 2-5 times in one turn.,—
Water Sport,WATER,Status,—,—,15,,Weakens the power of Fire-type moves.,—
Water Spout,WATER,Special,150,100,5,,"The higher the user's HP, the higher the damage caused.",—
Waterfall,WATER,Physical,80,100,15,TM98,May cause flinching.,20
Weather Ball,NORMAL,Special,50,100,10,,Move's power and type changes with the weather.,—
Whirlpool,WATER,Special,35,85,15,,"Traps opponent, damaging them for 4-5 turns.",—
Whirlwind,NORMAL,Status,—,—,20,,"In battles, the opponent switches. In the wild, the Pokémon runs.",—
Wide Guard,ROCK,Status,—,—,10,,Protects the user's team from multi-target attacks.,—
Wild Charge,ELECTRIC,Physical,90,100,15,TM93,User receives recoil damage.,—
Will-O-Wisp,FIRE,Status,—,85,15,TM61,Burns opponent.,100
Wing Attack,FLYING,Physical,60,100,35,,,—
Wish,NORMAL,Status,—,—,10,,The user recovers HP in the following turn.,—
Withdraw,WATER,Status,—,—,40,,Raises user's Defense.,—
Wonder Room,PSYCHIC,Status,—,—,10,,Swaps every Pokémon's Defense and Special Defense for 5 turns.,—
Wood Hammer,GRASS,Physical,120,100,15,,User receives recoil damage.,—
Work Up,NORMAL,Status,—,—,30,TM01,Raises user's Attack and Special Attack.,—
Worry Seed,GRASS,Status,—,100,10,,Changes the opponent's Ability to Insomnia.,—
Wrap,NORMAL,Physical,15,90,20,,"Traps opponent, damaging them for 4-5 turns.",—
Wring Out,NORMAL,Special,—,100,5,,"The higher the opponent's HP, the higher the damage.",—
X-Scissor,BUG,Physical,80,100,15,TM81,,—
Yawn,NORMAL,Status,—,—,10,,Puts opponent to sleep in the next turn.,—
Zap Cannon,ELECTRIC,Special,120,50,5,,Paralyzes opponent.,100
Zen Headbutt,PSYCHIC,Physical,80,90,15,,May cause flinching.,20
Zing Zap,ELECTRIC,Physical,80,100,10,,"A strong electric blast crashes down on the target, giving it an electric shock. This may also make the target flinch.",
Zippy Zap,ELECTRIC,Physical,50,100,15,,High critical-hit ratio.,
